stop_id,stop_name,stop_lat,stop_long
243,Garibaldi Ognissanti,45.499371000000004,12.246522
244,Garibaldi Giardini,45.50285,12.248999000000001
246,Garibaldi Municipio,45.496811,12.244771
256,Padova Fiera,45.413559,11.889348
257,Pertini Vespucci,45.482018,12.267743
258,Pertini Gavagnin,45.483471,12.267151
259,Pertini Chiesa,45.485882000000004,12.270344999999999
260,Trezzo Terraglio,45.507256,12.240024
261,Cavergnago Taliercio,45.489136,12.279075
264,Bissuola Varrone,45.493198,12.266067999999999
265,Bissuola Esiodo,45.493904,12.264255
267,Casona Marziale,45.497303,12.265393
268,Casona Bissuola,45.495296,12.263734
269,Bissuola Tevere,45.493815999999995,12.260492
270,Bissuola Cadorna,45.493782,12.256713000000001
271,Bissuola Pisani,45.494949,12.253036
272,Bissuola Colombo,45.495281,12.249742
277,De Nicola Chiesa,45.509190000000004,12.257257000000001
280,Padova Fiera,45.413315000000004,11.889192
283,Don Sturzo Vallon,45.508549,12.255608
284,Don Sturzo Pasqualigo,45.507416,12.261147
285,Pasqualigo Monte Rua,45.505989,12.261077
286,Vespucci San Giuseppe,45.480083,12.266906
287,Vespucci Boerio,45.483536,12.262694999999999
288,Vespucci Gritti,45.486446,12.25928
289,Vespucci Cattaneo,45.490565999999994,12.254661
290,Vespucci Pigafetta,45.493801,12.25226
291,Vespucci Garigliano,45.495819,12.251128
292,Fradeletto Cecchini,45.497864,12.247752
293,Sansovino Vespucci,45.486992,12.256321
294,Crea,45.482426000000004,12.140841
296,Fornase Perugia,45.477798,12.157886
297,Matteotti Cimitero,45.481056,12.161246
301,Spinea Piazza Marconi,45.489651,12.167313
303,27 Ottobre D5,45.491188,12.246137
304,Spinea Centro,45.490738,12.167497000000001
305,Spinea Sanremo,45.495056,12.158163
306,Spinea Orgnano,45.496173999999996,12.152588
308,Spinea Desenzano,45.489182,12.14873
311,Spinea Villaggio Fiori,45.491581,12.152813
312,Spinea Giorgione,45.487137,12.179151
313,Miranese Selenia,45.485882000000004,12.181724
314,Miranese San Giorgio,45.484703,12.188897
315,Trieste Miranese,45.48333,12.192976
316,Trieste Robinie,45.477478000000005,12.199181
317,Bottenigo Capolinea,45.460232,12.218834
318,Villabona Bottenigo,45.474289,12.201015
319,Villabona  87,45.473358000000005,12.200164
320,Villabona Pioppi,45.474152000000004,12.196635
321,Villabona Morari,45.473423,12.195257000000002
322,Villabona Ontani,45.472729,12.192331
323,San Dona' Cervino,45.502594,12.274478
324,Salici Villabona,45.473358000000005,12.188519
325,Liberta' Commercio,45.47868,12.243048
326,Trieste Catene,45.477447999999995,12.203135000000001
327,Trieste Parco,45.477348,12.20542
328,Trieste Mazzorbo,45.476997,12.211821
329,Trieste Eraclea,45.476959,12.216318
330,Calvi Parmesan,45.478024,12.219415
331,Paolucci Longhena,45.480152000000004,12.223355
333,Durando Bellinato,45.478542,12.231611000000001
334,Rizzardi Carrer,45.479504,12.231116
335,Marghera Salamonio,45.466187,12.214821
337,San Dona' Cervino,45.502438,12.274787
338,Pasini Fratellanza,45.462165999999996,12.221426
339,Pasini Lavoratore,45.464256,12.222666
340,Beccaria Correnti,45.466217,12.222899
348,Calucci Quarnaro,45.492340000000006,12.218749
349,Paleocapa Parmesan,45.477112,12.219864999999999
350,Beccaria Parmesan,45.476177,12.21894
351,Beccaria Canetti,45.474289,12.219305
352,Beccaria Oroboni,45.471676,12.220201
353,Beccaria Chiesa,45.469498,12.221297
354,San Dona' Rielta,45.502827,12.271395
