validation_datetime,serial,stop,title,title_description
2023-01-14 16:00:00,-2818072925,5053,11209,Bigl RETE UNICA 75'
2023-01-14 16:11:00,-2821811725,5094,11209,Bigl RETE UNICA 75'
2023-01-14 16:19:00,65693771586435077,5041,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-14 16:20:00,-3604953300,5053,11209,Bigl RETE UNICA 75'
2023-01-14 16:30:00,-3619064786,6084,11209,Bigl RETE UNICA 75'
2023-01-14 16:41:00,65693843634222853,5003,11108,"72h-Tpl 38,40-ComVe6,60"
2023-01-14 16:47:00,-2824223312,6065,11209,Bigl RETE UNICA 75'
2023-01-14 17:00:00,65693775350234885,5039,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 17:01:00,-3613062236,5132,11209,Bigl RETE UNICA 75'
2023-01-14 17:09:00,40553621478998788,5113,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 17:13:00,41960996355849476,5089,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-14 17:17:00,-3613103598,510,11209,Bigl RETE UNICA 75'
2023-01-14 17:21:00,40835096054886148,5113,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 17:31:00,41960080992312580,3564,14122,Extra tratta 2 
2023-01-14 17:40:00,-3613139960,5031,23301,Mens.Studente Rete Unica
2023-01-14 17:40:00,65693772913736197,3434,14123,Extra tratta 3 
2023-01-14 17:45:00,-2818079900,5042,23102,Annuale ordinario Rete Unica
2023-01-14 18:00:00,-3604917015,5001,23101,Mensile ordinario Rete Unica
2023-01-14 18:03:00,-2824208265,5026,110,Linea 17-categoria A
2023-01-14 18:20:00,-2824232066,5114,20003,Mensile ORDINARIO ISOLE
2023-01-14 18:35:00,41679520839557892,5040,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-14 19:00:00,40553621484190212,5039,11109,Biglietto 72 ore Roll. Venice
2023-01-14 19:40:00,65693840953471749,162,12101,Bigl.Aut.75'Mestre/Lido-tsc
2023-01-14 19:57:00,-2854820144,242,11209,Bigl RETE UNICA 75'
2023-01-14 20:00:00,40834225105870340,5039,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-14 20:54:00,-3613058456,5037,11209,Bigl RETE UNICA 75'
2023-01-14 21:00:00,65694180697864965,5013,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-14 22:00:00,-3604911297,5113,11209,Bigl RETE UNICA 75'
2023-01-14 22:38:00,-2824274481,5013,11209,Bigl RETE UNICA 75'
2023-01-14 23:00:00,-2855021390,5001,11209,Bigl RETE UNICA 75'
2023-01-14 23:28:00,-3613046986,5013,23303,Abb stud. ReteUnica 12 mesi 
2023-01-14 23:41:00,-2824269352,5013,10101,MOBILITY ordinario Rete Unica
